formula,atomic_volume,band_gap,outer_electron,diff_electroneg,spacegroup,band_gap.is_direct
GaAs,23.76137088,0.1942,24,0.37,6mm,1
As2Se3,29.97972455,1.4354,27,0.37,2/m,0
CdP2,23.99102634,1.4576,15,0.5,422,0
CaC2,16.40416503,2.2972,6,1.55,2/m,0
Al2Te5,36.8297989,1.0464,25,0.49,2/m,0
GeAs,25.45699003,0.6381,25,0.17,2/m,1
VBr2,28.69008866,1.0943,18,1.33,-3m,0
SiAs2,24.24855062,0.892,17,0.28,mmm,0
Te3As2,29.26210011,0.1682,27,0.08,-3m,0
SiC,10.49719473,1.8904,8,0.65,3m,0
GaTe,34.0979681,0.8034,25,0.29,6/mmm,0
GeSe2,29.63729473,1.5209,26,0.54,-42m,0
K3Sb,39.24634654,0.6773,14,1.23,m-3m,1
Re2O7,15.31033168,2.6752,11,1.54,222,0
MgTe,26.77138451,0.8469,16,0.79,6/mmm,0
MgSe,26.97411586,2.5855,16,1.24,6mm,1
MoSe2,22.82657723,1.2588,18,0.39,6/mmm,0
MoS2,20.57538868,1.3377,10,0.42,6/mmm,0
K2S,34.66067204,2.321,7,1.76,m-3m,0
GeRu,14.67717895,0.1677,18,0.19,23,0
Cs3Sb,51.10001495,0.6214,14,1.26,m-3m,0
MgTe,34.56544542,2.3612,16,0.79,6mm,1
CsI,50.76731051,3.6837,16,1.87,m-3m,0
CsH,33.46971049,2.4016,2,1.41,m-3m,1
K2Pt,37.45808264,1.3492,9,1.46,m-3m,0
NaN3,15.18622902,4.0425,6,2.11,m,0
MgO,11.38051172,3.2583,8,2.13,6/mmm,1
NaN3,15.50036871,4.1512,6,2.11,3m,0
GeO2,9.70530049,1.3715,18,1.43,mmm,1
Ga2Ru,14.49743158,0.123,17,0.39,mmm,0
MgF2,11.33287579,6.8459,9,2.67,mmm,1
MgSe,20.92113152,1.7649,16,1.24,m-3m,0
WN2,9.697515885,1.6013,9,0.68,6/mmm,0
CsI,61.11534273,3.8345,16,1.87,mmm,1
KI,46.38477874,3.7464,16,1.84,mmm,1
InSe,33.32283601,0.6528,25,0.77,-6m2,1
Cs2S3,36.90657521,1.3821,7,1.79,mm2,0
NaCl7,28.98020143,0.4389,8,2.23,m-3,0
GeO2,9.54251327,1.5228,18,1.43,mmm,1
OF2,13.56713413,2.1256,13,0.54,mmm,0
GeP,21.84786933,0.5034,17,0.18,2/m,0
GeF2,17.14004475,4.1965,19,1.97,mmm,0
CdS2,21.92683223,1.2404,16,0.89,m-3,0
LuN,13.4522345,0.2488,20,1.77,m-3m,0
MgH2,9.350476668,2.7298,3,0.89,m-3,0
MgSe2,23.09767867,1.6487,16,1.24,m-3,0
NaSn,30.22867814,0.3429,13,1.03,4/mmm,0
CsSn,48.24634395,0.7472,13,1.17,4/mmm,1
In2O3,12.85927369,0.7628,17,1.66,mmm,0
MnO2,14.70059256,0.9838,11,1.89,2/m,0
CrSi2,11.92317927,0.3864,8,0.24,622,0
GaSe,27.96659562,1.2376,25,0.74,3m,0
LiF,8.511080932,8.7164,8,3,m-3m,0
Li2S,15.60691393,3.4112,7,1.6,m-3m,0
Zr3N4,11.28697388,0.6808,7,1.71,-43m,1
CsTe4,42.75612161,0.6279,15,1.31,2/m,1
FeF3,13.80459026,3.0655,13,2.15,32,0
CsS3,33.75842678,1.6786,7,1.79,-1,0
NaCl3,25.55327747,2.7103,8,2.23,mmm,1
GeO2,14.05822351,2.9402,18,1.43,2/m,0
Ge3F8,14.54815036,4.3752,19,1.97,2/m,0
Cs2Sb,50.65008651,0.2818,14,1.26,mmm,0
MgO,9.674880559,4.0482,8,2.13,6/mmm,1
Cs2S5,35.91264394,1.8857,7,1.79,222,0
In2O3,13.02275129,0.8786,17,1.66,mmm,0
NaP15,22.84074221,1.5187,6,1.26,-1,0
SiO2,19.15162128,5.7794,10,1.54,mmm,1
NaP7,24.15043393,1.7429,6,1.26,4/mmm,1
Mg3Sb2,30.2519813,1.3143,15,0.74,m-3,0
Bi2O3,18.58570755,2.5398,19,1.42,m-3,1
KS3,29.56107667,1.8027,7,1.76,2/m,0
Nb6I11,38.13216414,0.1691,18,1.06,mm2,0
GeS2,26.99331359,2.2271,18,0.57,m,0
In2Te5,37.65825615,0.8515,25,0.32,2/m,0
MoI2,37.96464839,1.6796,19,0.5,mmm,0
RbGe,35.58303522,0.9153,13,1.19,4/mmm,0
Re4Ge7,15.8160283,0.7029,17,0.11,-42m,1
V6O13,12.11571017,0.1302,9,1.81,2/m,0
KSi,30.34635061,1.1834,5,1.08,4/mmm,0
KGe,32.70101857,0.9027,13,1.19,4/mmm,0
CsP7,28.57422003,1.2766,6,1.4,mmm,1
Nb2O5,14.69610765,1.8987,9,1.84,2/m,0
CsSe4,36.29808157,0.9736,15,1.76,mmm,0
WO3,14.78861918,1.4888,10,1.08,-42m,0
S7N,30.42926755,0.6464,11,0.46,mmm,0
CsSb,49.20392008,0.5216,14,1.26,2/m,1
SiO2,21.27789448,5.6518,10,1.54,6/mmm,1
CsTe7,39.88449231,0.1135,15,1.31,4/mmm,1
CsBi,52.20783865,0.2452,14,1.23,2/m,1
GeH4,17.78022808,5.7843,13,0.19,2/m,0
KSi,32.0028242,1.2619,5,1.08,-43m,0
NaS2,23.43857217,2.0084,7,1.65,-42m,0
CrSi2,11.92485599,0.3863,8,0.24,622,0
Ga2O3,10.0683553,2.4063,17,1.63,-3m,0
SrGe2,27.298608,0.4377,14,1.06,mmm,0
MgF2,11.36435454,6.824,9,2.67,4/mmm,1
MgO,9.639689133,4.4449,8,2.13,m-3m,1
Na2Se,26.82591131,2.0162,15,1.62,m-3m,1
CoO2,16.04648405,1.2049,13,1.56,2/m,0
CsGe,42.28746264,1.3383,13,1.22,-43m,0
KS,31.50096457,1.5071,7,1.76,-6m2,0
GeS,21.15160647,0.5794,18,0.57,mmm,0
MgSe,27.00691259,2.5476,16,1.24,-43m,1
MgS,23.12637321,3.3692,8,1.27,-43m,1
MgTe,34.52833434,2.3186,16,0.79,-43m,1
MgS,17.87174401,2.7919,8,1.27,m-3m,0
CoSb3,23.66749774,0.1651,20,0.17,m-3,1
CdSb,30.40616542,0.1368,23,0.36,mmm,0
Ga2Se3,26.21451874,1.0376,25,0.74,m,1
Cs2Pt,40.38717555,1.7066,9,1.49,6/mmm,0
Mg2Si,21.49063188,0.2361,6,0.59,m-3m,0
CsSi,40.34289601,1.5634,5,1.11,-43m,1
Ge3N4,12.68606489,1.8873,17,1.03,6/m,1
K3Sb,44.21438753,0.3938,14,1.23,6/mmm,0
CoP2,13.08440121,0.4336,12,0.31,2/m,0
MoS2,20.88311783,1.4154,10,0.42,3m,0
TiO2,10.52471659,2.5301,8,1.9,mmm,0
Cs2P3,37.30394964,0.9865,6,1.4,mmm,1
FeS2,13.57017823,0.8901,12,0.75,mmm,0
KSb,39.84998967,0.6608,14,1.23,2/m,0
NaSe2,27.40723147,1.1893,15,1.62,-42m,0
KTe,43.97336596,0.2686,15,1.28,-6m2,0
Mg3N2,12.59203998,1.5099,7,1.73,m-3,0
NaSe,26.08176434,0.4799,15,1.62,6/mmm,1
K3P11,29.01178755,1.9334,6,1.37,mmm,0
GaSe,28.10728521,1.2404,25,0.74,-6m2,0
Nb2O5,14.70686238,2.1865,9,1.84,2/m,0
Na3P,23.68437657,0.4046,6,1.26,6/mmm,1
Sn3N4,13.6458147,0.234,17,1.08,m-3m,1
MoSe2,24.68540335,1.4626,18,0.39,6/mmm,1
Ge3Os2,15.80821106,0.7418,18,0.19,mmm,1
Sb2O5,12.05577153,0.5039,19,1.39,2/m,0
FeSi2,12.50329615,0.6958,10,0.07,mmm,0
K2S5,29.20336716,1.9305,7,1.76,222,0
Rh2O3,10.57805641,0.5649,13,1.16,mmm,1
K2Te,46.48925273,2.1383,15,1.28,m-3m,0
NO2,15.41717333,2.7031,11,0.4,2/m,0
UN2,12.25564057,0.7049,9,1.66,m-3m,0
CsF,28.62467474,5.2602,8,3.19,m-3m,0
KGa3,25.21613417,0.2739,12,0.99,-42m,0
SbO2,13.40687924,2.022,19,1.39,2/m,0
Ga7Te10,33.54542079,0.8758,25,0.29,32,0
K2Se5,32.81015669,0.9376,15,1.73,222,0
NbF5,16.53552246,4.5673,10,2.38,2/m,0
Mn3O4,11.81815344,0.6389,11,1.89,4/mmm,0
MoO3,14.50879577,1.3723,10,1.28,2/m,1
RbGe,37.23664177,1.015,13,1.19,-43m,0
Mn5O8,10.91520208,0.4403,11,1.89,2/m,0
MnO,11.34665955,1.7244,11,1.89,-3m,0
NiO,9.371359717,2.3071,14,1.53,-3m,0
CoO,12.20452446,0.712,13,1.56,mm2,1
MnO2,10.50332006,0.8977,11,1.89,mmm,0
MnO2,11.99390084,1.0729,11,1.89,4/m,0
Cr2O3,10.29237327,2.4343,10,1.78,-3m,0
GaSe,28.00472169,1.2348,25,0.74,6/mmm,0
Li2O,8.426606229,4.9168,7,2.46,m-3m,0
TmN,13.93110036,0.1687,18,1.79,m-3m,0
Fe2O3,10.46680323,1.5284,12,1.61,-3m,0
InS,25.55897261,1.3814,17,0.8,mmm,0
ErN,14.24397395,0.1285,17,1.8,m-3m,0
In4Se3,29.25699818,0.216,25,0.77,mmm,0
FeP2,12.71516136,0.4336,11,0.36,mmm,0
InP,26.42000431,0.4546,16,0.41,-43m,1
InSe,31.68247713,0.4575,25,0.77,6/mmm,1
MoO3,13.45952857,1.9539,10,1.28,mmm,0
KTe,43.14894183,0.6627,15,1.28,6/mmm,1
Li3Sb,17.65793246,0.7159,14,1.07,m-3m,0
YN,14.87876783,0.151,6,1.82,m-3m,0
SrN6,15.56830102,3.6688,7,2.09,mmm,1
InSe,29.84853496,1.0458,25,0.77,2/m,0
KGe,33.73669293,0.9106,13,1.19,-43m,0
KPb,41.44154018,0.3735,13,1.51,4/mmm,0
Ge3Ru2,15.63196301,0.3814,18,0.19,mmm,0
NaN3,15.00878049,4.0245,6,2.11,-3m,0
In2S3,24.78635333,0.8349,17,0.8,4/mmm,0
GeO2,14.32379631,3.2501,18,1.43,32,0
In2O3,13.28280899,0.9604,17,1.66,-3m,0
In2S3,22.96063473,0.2915,17,0.8,-3m,0
CoO,12.15593718,0.588,13,1.56,-42m,1
GeS,21.98320536,1.2376,18,0.57,mmm,1
Si3N4,10.67571179,4.6547,9,1.14,3m,0
Li3N,11.22064171,0.9858,6,2.06,6/mmm,0
In2O3,13.65734505,0.9331,17,1.66,m-3,0
FeS2,13.1498018,0.4429,12,0.75,m-3,0
InSe,32.54059017,0.5365,25,0.77,3m,1
Li2Se,18.17851692,2.9974,15,1.57,m-3m,0
NaCl,23.04807417,5.0033,8,2.23,m-3m,1
CuI,27.73043065,1.5722,24,0.76,4/mmm,1
CsCl,37.28411223,4.9881,8,2.37,m-3m,1
CsI3,53.50071818,1.8986,16,1.87,mmm,0
CdCl2,28.09936533,3.5214,17,1.47,-3m,0
CuI,27.48143547,1.1363,24,0.76,-43m,1
KI,46.37166692,3.8513,16,1.84,m-3m,1
LiI,27.34843822,4.2337,16,1.68,m-3m,0
LiCl,17.1012054,6.2506,8,2.18,m-3m,0
CuCl,19.73369438,0.5612,16,1.26,-43m,1
IO2,17.67880423,1.4431,21,0.78,2/m,0
KCl,32.5166187,5.0442,8,2.34,m-3m,1
InI,39.09892791,1.3568,26,0.88,mmm,1
MgI2,39.54769217,3.6163,17,1.35,-3m,0
MgCl2,25.64326562,5.6177,9,1.85,-3m,0
Li3Bi,19.11006895,0.3607,14,1.04,m-3m,0
CoCl2,21.81224366,0.3748,14,1.28,-3m,0
GeI4,53.99019859,1.996,27,0.65,m-3,1
NaI,34.8375611,3.5255,16,1.73,m-3m,1
InCl,30.89225541,2.1877,18,1.38,23,0
CuCl,17.35267188,0.4439,16,1.26,m-3,1
NbCl5,33.24190111,2.2207,10,1.56,2/m,0
Na2O2,12.82546898,1.7552,7,2.51,-6m2,0
Li3N,8.732692499,1.218,6,2.06,6/mmm,0
Dy2O3,15.21011632,3.9251,16,2.22,m-3,0
Na2O,14.59619036,1.8735,7,2.51,m-3m,0
LiH,8.001044045,2.9737,2,1.22,m-3m,1
Ga2Te5,33.5262924,1.0068,25,0.29,4/m,0
MgH2,10.23193521,3.736,3,0.89,4/mmm,0
MgH2,10.04683856,3.6284,3,0.89,mmm,0
NaH,14.05929367,3.7667,2,1.27,m-3m,0
HN,9.325324657,4.1598,6,0.84,mmm,0
NaS,22.68776668,1.2347,7,1.65,6/mmm,1
NaSi,24.20377045,1.2341,5,0.97,2/m,0
KH,23.10458544,3.4696,2,1.38,m-3m,0
CdF2,13.80839441,2.8997,17,2.29,m-3m,0
LiP5,19.32166526,1.2083,6,1.21,mm2,0
Er2O3,13.55439699,4.1121,18,2.2,2/m,0
GaP,20.86842252,1.5928,16,0.38,-43m,0
GaS,24.81393653,1.8829,17,0.77,6/mmm,0
Mg3P2,21.97650546,1.6068,7,0.88,m-3,1
MnO2,11.65142153,1.3808,11,1.89,-3m,0
MnO2,11.65788015,1.572,11,1.89,m-3m,0
Li2Te,23.03882995,2.5171,15,1.12,m-3m,0
Sr2Ge,34.32100436,0.3776,14,1.06,mmm,1
MgO2,9.793036882,3.7324,8,2.13,m-3,0
MgTe2,29.93818167,1.1162,16,0.79,m-3,0
GeTe,27.11594156,0.4145,26,0.09,m-3m,1
Y2O3,15.3297448,4.056,7,2.22,m-3,0
LiN3,11.35433039,3.6497,6,2.06,2/m,0
CsAu,42.04437537,1.0239,10,1.75,m-3m,0
Mo8O23,14.99194224,0.1155,10,1.28,2/m,0
K2O2,19.78517266,2.3476,7,2.62,mmm,0
FeP4,14.49728653,0.9162,11,0.36,2/m,0
Ge5F12,16.47605092,4.3666,19,1.97,2/m,0
NiCl2,22.26887473,0.7412,15,1.25,-3m,0
LiTe3,29.90723907,0.2297,15,1.12,-3m,0
Ta3N5,13.05275476,1.2291,8,1.54,mmm,0
LiP7,21.52670843,1.656,6,1.21,4/mmm,0
Zr3N4,12.73120505,0.9706,7,1.71,mmm,0
Mo9O26,15.03056776,0.6728,10,1.28,2/m,0
Na2Te,32.82762429,2.0282,15,1.17,m-3m,1
Nb3Cl7,25.67874656,0.9755,10,1.56,mmm,0
NO2,15.32153873,2.8134,11,0.4,m-3,1
GeI2,43.9401847,2.035,27,0.65,-3m,0
MnI2,38.29070493,1.1719,20,1.11,-3m,0
Cu2P7,18.02518824,0.6893,14,0.29,2/m,1
In5Cl9,29.69747223,2.9912,18,1.38,-3m,0
Na2S5,24.34379113,1.7624,7,1.65,mmm,0
MoS2,21.85850903,1.4606,10,0.42,6/mmm,0
MnCl2,26.05694427,1.7964,12,1.61,-3m,0
Li3P7,19.90330636,1.7925,6,1.21,222,0
NaTe,30.88572598,0.5388,15,1.17,mmm,1
NaTe3,33.39928506,0.5246,15,1.17,-3m,0
In7Cl9,29.99713966,2.1903,18,1.38,m-3,1
KSb2,36.98390533,0.2091,14,1.23,2/m,0
H3N,8.370665582,4.3287,6,0.84,23,1
CsS,44.23296162,1.7363,7,1.79,mmm,0
InI2,46.77886116,1.7858,26,0.88,mmm,0
Ge7F16,16.2168732,4.3804,19,1.97,m,0
NaGe,25.57594943,0.6652,13,1.08,2/m,1
Ge3Cl8,35.95683866,3.2079,19,1.15,-43m,0
Nb3Cl8,25.25781707,0.1476,10,1.56,-3m,0
GeCl4,38.70875176,4.1254,19,1.15,2/m,0
Bi4O7,16.06339536,0.89,19,1.42,-1,0
GaCl3,35.06597556,4.1634,18,1.35,2/m,0
GaI3,51.29780114,2.3616,26,0.85,2/m,0
CuCl2,25.20503016,0.1102,16,1.26,2/m,0
NbCl4,30.15174977,1.0761,10,1.56,2/m,0
NaP5,21.38573348,1.3314,6,1.26,mmm,0
KBi,42.5169407,0.4072,14,1.2,2/m,0
NbI5,43.70901618,0.5983,18,1.06,2/m,0
RbGa3,26.15025021,0.1896,12,0.99,-42m,0
Fe3O4,11.20336419,0.7369,12,1.61,mmm,0
WO3,15.69876611,1.2267,10,1.08,6/mmm,1
Cu2O,13.13881687,0.4997,15,1.54,m-3m,1
MgB4,8.957599319,0.3706,13,0.73,mmm,0
MgP4,19.95765206,0.58,7,0.88,2/m,0
Mg2Ge,22.10675196,0.1872,14,0.7,m-3m,0
NaS,22.97756001,0.8685,7,1.65,-6m2,0
KF,19.94643161,5.9956,8,3.16,m-3m,1
Nb2F5,13.89917129,0.1513,10,2.38,m-3m,0
Th3N4,17.0768933,1.482,7,1.74,-3m,0
GeO2,9.745858768,1.2307,18,1.43,4/mmm,1
Na3P11,23.74733071,1.8364,6,1.26,mmm,1
NiP2,14.916122,0.4079,13,0.28,2/m,0
MnP4,14.63887933,0.4422,10,0.64,-1,0
N2O5,12.74107915,0.6641,11,0.4,6/mmm,0
Cs2Te13,40.78803705,0.4848,15,1.31,mmm,1
Cs2Te3,47.58851741,0.5492,15,1.31,mm2,0
Ge3Os2,15.89431471,0.8456,18,0.19,-42m,1
CrO3,17.31043164,2.2587,10,1.78,mm2,0
CsN3,22.85106623,4.2241,6,2.25,4/mmm,1
Ga2S3,22.77267505,1.6981,17,0.77,m,0
NCl3,30.4874681,2.1637,12,0.12,mmm,0
GeSe2,33.37435153,1.4382,26,0.54,2/m,0
Cs2S,42.16138988,2.0957,7,1.79,mmm,1
OsO4,18.72476947,3.3008,12,1.24,2/m,0
Cs2Se5,39.12441956,0.9613,15,1.76,222,0
Nb2Se9,29.28817713,0.7515,17,0.95,-1,0
Cs3P7,36.24988016,2.3442,6,1.4,4,0
Ge5Ir4,16.70761372,0.1335,19,0.19,-42m,0
KSn,39.19862054,0.7335,13,1.14,4/mmm,0
GeS2,27.62019123,2.2372,18,0.57,mm2,0
GaTe,32.71471089,1.0626,25,0.29,2/m,1
WO3,15.71413297,1.1472,10,1.08,6/mmm,0
Cr3O8,15.32799915,0.5084,10,1.78,2/m,0
SnO2,12.58614302,0.8063,18,1.48,mmm,0
CoO2,23.40837234,1.2999,13,1.56,2/m,0
SiO2,22.27956186,5.6413,10,1.54,4/mmm,0
MoF3,18.51524029,2.9744,11,1.82,m-3m,0
CrF2,13.79280927,3.0034,11,2.32,2/m,0
RuO4,18.76873458,2.4251,12,1.24,-43m,1
CrF4,13.76426087,1.5653,11,2.32,2/m,0
SiO2,13.18455742,5.5882,10,1.54,m-3,0
In6S7,24.02678054,0.3185,17,0.8,2/m,1
CoF2,12.08679449,3.3629,14,2.1,4/mmm,0
Nb2O5,14.86060835,1.5314,9,1.84,4/mmm,0
MnF3,14.25080206,0.5139,12,2.43,2/m,0
GaS,24.73507552,2.0126,17,0.77,6/mmm,0
FeF2,12.77080372,3.3829,13,2.15,4/mmm,0
SiO2,16.3191354,5.4801,10,1.54,222,1
Na2S,21.7067129,2.1176,7,1.65,mmm,1
SiO2,18.91644764,5.5806,10,1.54,1,0
MoF6,16.90038684,4.1644,11,1.82,mmm,1
MoF3,15.39414898,3.5744,11,1.82,-3m,0
La2O3,16.96332911,3.4153,7,2.34,2/m,0
NO2,18.01899313,2.7841,11,0.4,m-3,1
SiO2,19.29705515,5.5233,10,1.54,m,0
SiO2,20.21710864,5.7183,10,1.54,2/m,0
Cr2F5,13.68570023,1.6074,11,2.32,2/m,1
MoF6,20.14578592,4.2539,11,1.82,m-3m,0
Cr8O21,14.73064568,1.6022,10,1.78,-1,0
SiO2,14.83804168,5.65,10,1.54,m-3m,0
SiO2,20.01470577,5.6491,10,1.54,4/mmm,0
FeF3,17.99229706,2.743,13,2.15,m-3m,1
NiF2,11.49631049,4.9082,15,2.07,4/mmm,1
SiO2,14.05981475,5.6041,10,1.54,422,0
SiO2,24.72772236,5.6815,10,1.54,m-3m,0
SiO2,20.24824642,5.5749,10,1.54,mmm,0
CrF3,12.68489936,3.6701,11,2.32,-3m,0
MnF2,13.73948882,3.5874,12,2.43,4/mmm,0
PO2,15.76112704,4.518,11,1.25,2/m,0
NbS3,20.46239389,0.3568,9,0.98,-1,0
MoO3,13.47526459,1.692,10,1.28,2/m,0
LaN,22.04063517,1.1195,6,1.94,6mm,0
CdI2,40.1590008,2.367,25,0.97,-3m,0
CdI2,40.38852893,2.3734,25,0.97,-3m,0
InI3,52.80680154,2.2698,26,0.88,2/m,0
P3N5,12.55713048,3.5819,10,0.85,2/m,0
Mn11Si19,11.99034753,0.8909,9,0.35,-42m,1
K2Ga3,28.89251346,0.242,12,0.99,4/mmm,0
GaSe,27.61964645,1.2081,25,0.74,6mm,0
LiI,27.22754634,4.2245,16,1.68,6/mmm,0
CdI2,39.78369857,2.3959,25,0.97,-3m,0
FeP4,14.19475998,0.8437,11,0.36,222,0
MgH2,9.060850261,2.0783,3,0.89,mmm,1
NbCl5,32.45385134,2.2892,10,1.56,2/m,0
K3Bi,41.51362516,0.1313,14,1.2,m-3m,1
GaCl2,29.42465907,3.8516,18,1.35,mmm,0
MgH2,9.043363391,2.3528,3,0.89,mm2,0
CuI,27.51525846,1.2172,24,0.76,6mm,1
MnP4,14.64003988,0.4901,10,0.64,-1,0
NbI5,46.80252638,0.9944,18,1.06,-1,0
K2P3,29.71361725,1.0905,6,1.37,mmm,1
CrCl3,26.17020142,1.4581,11,1.5,32,0
NbI4,41.08393207,0.4776,18,1.06,mm2,0
CuI,28.04583507,1.6308,24,0.76,3m,1
CdI2,40.59605772,2.3906,25,0.97,3m,0
MgCl2,25.03787044,5.5715,9,1.85,-3m,0
CdI2,40.08408934,2.3718,25,0.97,3m,0
NaN3,15.04908408,3.9425,6,2.11,2/m,0
FeP4,14.60091639,0.7845,11,0.36,2/m,0
CdI2,40.13539941,1.9737,25,0.97,3m,0
GaI2,45.78519936,2.3838,26,0.85,3m,0
Ga3Os,18.3529536,0.7349,17,0.39,4/mmm,0
K4Sn9,39.24672975,1.1234,13,1.14,2/m,0
LiI,33.50957568,4.3818,16,1.68,6mm,1
CsI4,52.59614162,1.7663,16,1.87,2/m,0
CsSn,50.5707608,1.1371,13,1.17,-43m,0
MnP4,14.55309576,0.5601,10,0.64,2/m,1
GaCl3,35.6446984,4.2001,18,1.35,-1,0
CdI2,41.42842088,2.464,25,0.97,3m,0
InCl,31.04569078,1.4781,18,1.38,mmm,0
CdI2,40.17446177,2.3792,25,0.97,3m,0
CdI2,40.31608548,2.3723,25,0.97,3m,0
CdI2,40.21789083,2.3709,25,0.97,3m,0
InCl,31.17154467,1.4386,18,1.38,mm2,0
CdI2,41.5336143,2.4136,25,0.97,3m,0
GeS2,29.48076268,2.2648,18,0.57,2/m,0
CsSb,49.64573946,0.5562,14,1.26,222,1
CsCl,44.02463212,4.8492,8,2.37,m-3m,0
Cs2Te,54.58821928,1.774,15,1.31,mmm,1
Cs4Pb9,48.682784,0.824,13,1.54,2/m,0
Cu2S,15.00413885,0.3475,15,0.68,2/m,1
RbN3,21.41480529,3.7512,6,2.22,4/mmm,1
Nb2O5,14.66260182,1.6747,9,1.84,2,0
CdI2,42.1141449,2.4223,25,0.97,3m,0
In2Te5,37.70859621,0.8883,25,0.32,m,0
GaF3,12.40074804,4.705,18,2.17,-3m,0
SiO2,20.36830271,5.4426,10,1.54,mmm,1
Te2Mo,28.05292363,1.0113,18,0.06,6/mmm,0
Nb2O5,12.74343433,2.4206,9,1.84,2/m,0
BN,9.682245013,4.4292,16,1,-6m2,0
CuP10,20.92951434,0.9928,14,0.29,-1,0
In3Ru,23.13525087,0.2397,17,0.42,4/mmm,0
CsI,60.67941543,3.8572,16,1.87,m-3m,1
Ga3Cl7,29.63783991,4.144,18,1.35,mm2,0
In4Te3,33.53441809,0.1772,25,0.32,mmm,0
Cu2S,14.93490765,0.1293,15,0.68,422,0
MoCl2,27.47182657,2.4478,11,1,mmm,0
GeS2,25.42325443,2.1396,18,0.57,4/mmm,1
CdI2,40.03533162,2.3586,25,0.97,3m,0
Cs5Sb8,46.93988892,0.5848,14,1.26,2/m,1
BN,9.947290454,4.0021,16,1,6/mmm,1
InS,23.53154717,0.3653,17,0.8,2/m,0
Cs3Bi,54.19730001,0.1864,14,1.23,m-3m,0
Ga3Fe,16.1553939,0.2351,17,0.02,4/mmm,0
Ga2I3,39.25434708,2.2225,26,0.85,2/m,0
Pb3O4,17.47576603,0.9922,18,1.11,mmm,0
CrF5,14.31288499,1.3585,11,2.32,mmm,0
Gd2O3,14.95227697,2.8509,14,2.24,2/m,0
H3N,7.07576883,4.4391,6,0.84,222,0
K5Te3,39.09029357,0.2952,15,1.28,4/m,0
MnO2,10.27575195,0.4138,11,1.89,2/m,0
Na2S,23.64461191,2.4399,7,1.65,m-3m,1
In2Cl3,29.94119217,2.327,18,1.38,mmm,1
SiO2,19.06381779,5.5139,10,1.54,2/m,0
In7Te10,38.2435457,0.8149,25,0.32,32,0
CdI2,40.11072659,2.3553,25,0.97,3m,0
CdI2,40.07283356,2.3723,25,0.97,3m,0
SiO2,15.09482731,5.6183,10,1.54,2/m,1
Ga3Ru,18.12328635,0.415,17,0.39,4/mmm,0
Ge3N4,12.69630218,2.0646,17,1.03,3m,0
In3Ru,23.12322232,0.2432,17,0.42,-42m,0
Er2O3,14.68004577,3.964,18,2.2,m-3,0
CdI2,40.09264174,2.3639,25,0.97,3m,0
CdI2,40.1172068,2.3471,25,0.97,3m,0
CdI2,40.10081593,2.3482,25,0.97,3m,0
CdI2,40.06137761,2.3553,25,0.97,3m,0
CdI2,40.11264002,2.3587,25,0.97,3m,0
CdI2,39.97032826,2.3594,25,0.97,3m,0
Ge4Se9,30.90594244,1.2221,26,0.54,mm2,1
Mn4Si7,11.94759053,0.8013,9,0.35,-42m,0
K4Pb9,40.14093266,0.2811,13,1.51,2/m,0
NaF,12.94680263,6.204,8,3.05,m-3m,1
BN,9.559829026,2.9757,16,1,mm2,0
InF3,16.04592699,4.0073,18,2.2,-3m,0
H2O,10.40787101,5.5175,7,1.24,mm2,0
GeSe,24.57442286,0.8946,26,0.54,mmm,0
Mo9O26,14.93142967,0.4984,10,1.28,2/m,1
Ge3Ru2,15.66330141,0.3531,18,0.19,-42m,0
SiO2,17.30220639,5.3645,10,1.54,6/mmm,1
B2O3,7.66688897,8.3239,17,1.4,mm2,0
K2Te3,38.5584971,0.5885,15,1.28,mmm,0
GeO2,14.34939579,3.2511,18,1.43,32,0
Li3P,14.70484811,0.7411,6,1.21,6/mmm,0
RbN3,20.09239688,4.1736,6,2.22,4/mmm,1
NaP,21.82912452,0.8676,6,1.26,222,0
KP,28.8596187,1.0307,6,1.37,222,1
Cs2Se3,40.79370851,0.747,15,1.76,mm2,0
GeS2,25.38499123,2.5768,18,0.57,-42m,0
GeF2,17.89930078,4.0002,19,1.97,222,0
FeSe2,16.68887056,0.3731,20,0.72,mmm,0
K2S3,28.49881126,1.2894,7,1.76,mm2,0
K2Se3,32.01107411,0.635,15,1.73,mm2,0
H3N,9.503245669,3.7337,6,0.84,23,1
GeO2,15.72564724,3.2779,18,1.43,422,1
HgO,18.24027556,1.3022,16,1.44,32,0
Cs2O2,27.61633442,1.6621,7,2.65,mmm,0
K3P,36.18612931,0.2137,6,1.37,6/mmm,0
NaSb,30.56758425,0.4159,14,1.12,2/m,0
Li3Sb,19.87625854,0.5321,14,1.07,6/mmm,0
Na3Sb,29.91077537,0.3986,14,1.12,6/mmm,1
Cs2O,38.53431037,0.5913,7,2.65,-3m,0
BN,11.29175017,4.2946,16,1,6/mmm,0
GaN,11.7357055,1.7365,16,1.23,6mm,1
NbO2,12.24506934,0.4322,9,1.84,4/m,0
K2P3,29.67812828,0.9006,6,1.37,mmm,0
KN3,17.64999294,4.1558,6,2.22,4/mmm,1
GaN,11.74023481,1.5701,16,1.23,-43m,1
CsTe,47.69634947,1.0054,15,1.31,mmm,0
TeO2,16.74769056,2.8944,20,1.34,222,0
Li2O2,8.434960212,1.9748,7,2.46,6/mmm,0
